time,source,destination,protocol,source_port,destination_port,size,dns_query,payload
2026-08-31 20:22:09,192.168.1.44,172.64.155.209,TCP,45514,443,1454,-,17 03 03 1a df f9 58 ec ad f6 85 2d 2e f1 54 10 27 71 18 d2 44 68 4f 1c bb a4 94 bd cf 5a 62 a9 ae f9 68 4e bd 4d 37 d9
2026-08-31 20:22:09,192.168.1.44,172.64.155.209,TCP,45514,443,1454,-,cc 48 48 38 cd e9 0a 6d 33 a1 cc a9 c2 8f ba de 07 8e 12 af 43 9d d8 a5 3d 5b 3f 78 44 1c 33 5f 43 5f 62 89 b4 fd 9b f4
2026-08-31 20:22:09,192.168.1.44,172.64.155.209,TCP,45514,443,1454,-,7e ca ad 68 24 91 6e 9f cd 40 f8 88 09 8f dd 44 90 41 cc bb 19 ba 22 3d c0 b0 57 1a c6 3a 4b 3d 33 16 a5 dc 34 e9 ea 10
2026-08-31 20:22:09,192.168.1.44,172.64.155.209,TCP,45514,443,1454,-,4e 22 59 03 26 f4 97 f2 ab c6 59 cc 95 ce e8 61 72 3d 05 5f 3c c6 c2 d1 1d 5c ec 4e 60 67 16 1d 04 cf 06 08 ad 4d 09 6c
2026-08-31 20:22:09,192.168.1.44,172.64.155.209,TCP,45514,443,1398,-,c3 07 55 9b 5c f6 5f 36 18 54 b3 36 25 5d b3 c8 fa 5b 4b 5f fc 25 a3 c1 c9 6b e5 e6 f2 b7 47 ff d9 4d fe 94 d9 ae 24 e9
2026-08-31 20:22:09,192.168.1.44,172.64.155.209,TCP,45514,443,627,-,17 03 03 00 22 90 2d db ad e9 7d 93 5a 1b 0f df 92 71 ec 12 32 8b a8 89 48 a4 5a fd 88 a7 b1 e7 40 00 d3 8e 72 16 b0 17
2026-08-31 20:22:09,172.64.155.209,192.168.1.44,TCP,443,45514,66,-,-
2026-08-31 20:22:09,172.64.155.209,192.168.1.44,TCP,443,45514,66,-,-
2026-08-31 20:22:09,172.64.155.209,192.168.1.44,TCP,443,45514,66,-,-
2026-08-31 20:22:09,172.64.155.209,192.168.1.44,TCP,443,45514,66,-,-
2026-08-31 20:22:09,172.64.155.209,192.168.1.44,TCP,443,45514,105,-,17 03 03 00 22 ea 20 24 e5 ad 92 5f 0e 71 05 c4 a6 d1 8f 30 bf f7 8c 0e 9e 12 c1 c1 d8 e1 20 fd 42 30 1e b9 3f dc 36
2026-08-31 20:22:09,192.168.1.44,172.64.155.209,TCP,45514,443,66,-,-
2026-08-31 20:22:09,172.64.155.209,192.168.1.44,TCP,443,45514,446,-,17 03 03 01 77 a8 12 f3 32 6a f6 a3 67 2c 09 46 f7 e3 f2 11 97 9a 0a 1b 70 bd c2 f5 4c b7 f3 e0 ac 13 2e c5 cc 97 a6 22
2026-08-31 20:22:09,172.64.155.209,192.168.1.44,TCP,443,45514,113,-,17 03 03 00 2a 5d e8 68 01 46 c0 7d 08 0a 37 e6 76 80 b9 b3 12 8b bb 55 aa 41 bd 25 4c 88 a8 9e 75 15 14 f7 c7 35 4c 6b
2026-08-31 20:22:09,172.64.155.209,192.168.1.44,TCP,443,45514,97,-,17 03 03 00 1a 1e 9b 7c 28 23 0e ac 55 3a 2e 81 44 da 28 00 d3 5f 7b f2 ea 4d e6 86 ef 9d a6
2026-08-31 20:22:09,142.250.193.42,192.168.1.44,UDP,443,39791,319,-,4f 81 dc b9 3c 98 7c 9d cf 38 c5 7d d5 4a 4e c9 66 4e b0 bc 0e e0 bf 0e 47 49 12 8e b1 fe 67 a4 6d 6b 88 5a ce ed 43 be
2026-08-31 20:22:09,192.168.1.44,172.64.155.209,TCP,45514,443,66,-,-
2026-08-31 20:22:09,192.168.1.44,172.64.155.209,TCP,45514,443,66,-,-
2026-08-31 20:22:09,192.168.1.44,172.64.155.209,TCP,45514,443,66,-,-
2026-08-31 20:22:09,192.168.1.44,172.64.155.209,TCP,45514,443,101,-,17 03 03 00 1e ed 9e fa 05 b3 fd 42 54 8f 00 0f 06 33 f1 96 2b db a9 08 f2 8d 86 07 96 0b 51 c6 aa eb ec
